2022-01-31 08:03:33,850 | SERVER_CODE |  INFO | [3293] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-01-31 08:03:33,852 | SERVER_CODE |  INFO | [3293] ServerCode Model built in 5ms
2022-01-31 08:03:33,854 | SERVER_CODE |  INFO | [3293] [7E807803-8C01-49C1-FF88-F764372F8600] [INVOKE SERVICE] services.NEAR.Balance
2022-01-31 08:03:33,923 | SERVER_CODE | ERROR | [3293] Error: Status Code 301 (Moved Permanently)
    at new ResponseError (/usr/local/lib/node_modules/backendless-coderunner/node_modules/backendless-request/lib/index.js:42:116)
    at checkStatus (/usr/local/lib/node_modules/backendless-coderunner/node_modules/backendless-request/lib/index.js:244:9)
    at processTicksAndRejections (internal/process/task_queues.js:95:5)
2022-01-31 08:03:33,923 | SERVER_CODE |  INFO | [3293] Processing finished in 82.020ms
2022-01-31 08:03:45,859 | SERVER_CODE |  INFO | [2496] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 08:03:45,861 | SERVER_CODE |  INFO | [2496] Building Model..
2022-01-31 08:03:45,975 | SERVER_CODE |  INFO | [2496] ServerCode Model built in 114ms
2022-01-31 08:03:45,975 | SERVER_CODE |  INFO | [2496] Services (1):
2022-01-31 08:03:45,975 | SERVER_CODE |  INFO | [2496]   NEAR (services/NEAR/index.js)
2022-01-31 08:03:45,977 | SERVER_CODE |  INFO | [2496] Processing finished in 125.934ms
2022-01-31 08:03:46,487 | SERVER_CODE |  INFO | [1544] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 08:03:46,488 | SERVER_CODE |  INFO | [1544] Building Model..
2022-01-31 08:03:46,603 | SERVER_CODE |  INFO | [1544] ServerCode Model built in 115ms
2022-01-31 08:03:46,603 | SERVER_CODE |  INFO | [1544] Services (1):
2022-01-31 08:03:46,604 | SERVER_CODE |  INFO | [1544]   NEAR (services/NEAR/index.js)
2022-01-31 08:03:46,606 | SERVER_CODE |  INFO | [1544] Processing finished in 126.956ms
2022-01-31 08:05:48,764 | SERVER_CODE |  INFO | [1654] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 08:05:48,765 | SERVER_CODE |  INFO | [1654] Building Model..
2022-01-31 08:05:48,886 | SERVER_CODE |  INFO | [1654] ServerCode Model built in 121ms
2022-01-31 08:05:48,886 | SERVER_CODE |  INFO | [1654] Services (1):
2022-01-31 08:05:48,886 | SERVER_CODE |  INFO | [1654]   NEAR (services/NEAR/index.js)
2022-01-31 08:05:48,890 | SERVER_CODE |  INFO | [1654] Processing finished in 133.522ms
2022-01-31 08:05:49,398 | SERVER_CODE |  INFO | [3447] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 08:05:49,399 | SERVER_CODE |  INFO | [3447] Building Model..
2022-01-31 08:05:49,512 | SERVER_CODE |  INFO | [3447] ServerCode Model built in 113ms
2022-01-31 08:05:49,512 | SERVER_CODE |  INFO | [3447] Services (1):
2022-01-31 08:05:49,512 | SERVER_CODE |  INFO | [3447]   NEAR (services/NEAR/index.js)
2022-01-31 08:05:49,515 | SERVER_CODE |  INFO | [3447] Processing finished in 124.712ms
2022-01-31 08:05:59,544 | SERVER_CODE |  INFO | [3458] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-01-31 08:05:59,546 | SERVER_CODE |  INFO | [3458] ServerCode Model built in 5ms
2022-01-31 08:05:59,550 | SERVER_CODE |  INFO | [3458] [489D4A19-DFDB-C738-FFDA-C1869A0AA500] [INVOKE SERVICE] services.NEAR.Balance
2022-01-31 08:05:59,750 | SERVER_CODE | ERROR | [3458] Error: Status Code 301 (Moved Permanently)
    at new ResponseError (/usr/local/lib/node_modules/backendless-coderunner/node_modules/backendless-request/lib/index.js:42:116)
    at checkStatus (/usr/local/lib/node_modules/backendless-coderunner/node_modules/backendless-request/lib/index.js:244:9)
    at processTicksAndRejections (internal/process/task_queues.js:95:5)
2022-01-31 08:05:59,750 | SERVER_CODE |  INFO | [3458] Processing finished in 215.796ms
2022-01-31 08:06:56,421 | SERVER_CODE |  INFO | [2705] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 08:06:56,423 | SERVER_CODE |  INFO | [2705] Building Model..
2022-01-31 08:06:56,581 | SERVER_CODE |  INFO | [2705] ServerCode Model built in 158ms
2022-01-31 08:06:56,582 | SERVER_CODE |  INFO | [2705] Services (1):
2022-01-31 08:06:56,582 | SERVER_CODE |  INFO | [2705]   NEAR (services/NEAR/index.js)
2022-01-31 08:06:56,585 | SERVER_CODE |  INFO | [2705] Processing finished in 173.875ms
2022-01-31 08:06:57,089 | SERVER_CODE |  INFO | [3546] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 08:06:57,091 | SERVER_CODE |  INFO | [3546] Building Model..
2022-01-31 08:06:57,212 | SERVER_CODE |  INFO | [3546] ServerCode Model built in 121ms
2022-01-31 08:06:57,212 | SERVER_CODE |  INFO | [3546] Services (1):
2022-01-31 08:06:57,212 | SERVER_CODE |  INFO | [3546]   NEAR (services/NEAR/index.js)
2022-01-31 08:06:57,215 | SERVER_CODE |  INFO | [3546] Processing finished in 133.452ms
2022-01-31 08:07:00,555 | SERVER_CODE |  INFO | [1753] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-01-31 08:07:00,557 | SERVER_CODE |  INFO | [1753] ServerCode Model built in 5ms
2022-01-31 08:07:00,560 | SERVER_CODE |  INFO | [1753] [F9EA7FBE-907C-ACC3-FFFF-9B30BF25E500] [INVOKE SERVICE] services.NEAR.Balance
2022-01-31 08:07:00,914 | SERVER_CODE | ERROR | [1753] Error: Status Code 301 (Moved Permanently)
    at new ResponseError (/usr/local/lib/node_modules/backendless-coderunner/node_modules/backendless-request/lib/index.js:42:116)
    at checkStatus (/usr/local/lib/node_modules/backendless-coderunner/node_modules/backendless-request/lib/index.js:244:9)
    at processTicksAndRejections (internal/process/task_queues.js:95:5)
2022-01-31 08:07:00,914 | SERVER_CODE |  INFO | [1753] Processing finished in 367.231ms
2022-01-31 08:10:43,397 | SERVER_CODE |  INFO | [3733] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-01-31 08:10:43,399 | SERVER_CODE |  INFO | [3733] ServerCode Model built in 5ms
2022-01-31 08:10:43,402 | SERVER_CODE |  INFO | [3733] [D2436691-E2EB-A7BE-FFDC-8C7AC97F8400] [INVOKE SERVICE] services.NEAR.Balance
2022-01-31 08:10:43,487 | SERVER_CODE | ERROR | [3733] Error: Status Code 301 (Moved Permanently)
    at new ResponseError (/usr/local/lib/node_modules/backendless-coderunner/node_modules/backendless-request/lib/index.js:42:116)
    at checkStatus (/usr/local/lib/node_modules/backendless-coderunner/node_modules/backendless-request/lib/index.js:244:9)
    at processTicksAndRejections (internal/process/task_queues.js:95:5)
2022-01-31 08:10:43,488 | SERVER_CODE |  INFO | [3733] Processing finished in 101.080ms
2022-01-31 08:13:00,160 | SERVER_CODE |  INFO | [3843] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 08:13:00,161 | SERVER_CODE |  INFO | [3843] Building Model..
2022-01-31 08:13:00,283 | SERVER_CODE |  INFO | [3843] ServerCode Model built in 122ms
2022-01-31 08:13:00,284 | SERVER_CODE |  INFO | [3843] Services (1):
2022-01-31 08:13:00,284 | SERVER_CODE |  INFO | [3843]   NEAR (services/NEAR/index.js)
2022-01-31 08:13:00,286 | SERVER_CODE |  INFO | [3843] Processing finished in 133.992ms
2022-01-31 08:13:00,797 | SERVER_CODE |  INFO | [2050] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 08:13:00,798 | SERVER_CODE |  INFO | [2050] Building Model..
2022-01-31 08:13:00,918 | SERVER_CODE |  INFO | [2050] ServerCode Model built in 120ms
